61324.8,61730.0,LONG,100.0,0.0016306616572740555,0.6672667501565388,0.6672667501565388,0.7,61611.6,4.8,61579.9,2024-06-26 16:22:30,2024-06-26 19:58:18,5m
61046.0,61024.0,LONG,100.0,0.0016381089670084853,-0.03603839727418668,-0.03603839727418668,1.4,61102.4,-6.0,61097.6,2024-06-27 08:45:19,2024-06-27 09:26:50,5m,BTC-USD
61116.0,61065.3,SHORT,100.0,0.0016362327377446167,0.0829569998036473,0.0829569998036473,-0.7,,6.6,63070.9,,2024-06-27 10:40:31,1h,BTC-USD
60808.7,60808.7,LONG,100,0.0016445015269196679,0.0,0.0,-17.4,63045.4,-17.4,63045.4,2024-06-27 11:44:16,2024-06-27 11:44:18,1h,BTC-USD
60808.7,60809.0,LONG,100,0.0016445015269196679,-0.00016445015268957373,0.0004933504580806865,-23.5,61066.6,-23.5,61066.6,2024-06-27 11:44:19,2024-06-27 11:44:21,5m,BTC-USD
60722.0,60949.8,LONG,100.0,0.0016468495767596588,0.3751523335858551,0.3751523335858551,1.0,,18.1,60963.6,61031.8,2024-06-27 14:50:56,5m,BTC-USD
61204.9,61406.4,SHORT,100,0.0016338561128275678,-0.34343655491635,-0.3360842024086259,-2.7,60985.7,5.2,61011.8,2024-06-27 16:10:34,2024-06-27 17:39:52,5m,BTC-USD
61406.4,61238.1,LONG,100,0.0016284947497329269,-0.30159722765054514,-0.28726647385289067,5.3,61011.8,-7.9,61025.8,2024-06-27 17:39:53,2024-06-27 18:05:34,5m,BTC-USD
61238.1,61686.0,SHORT,100,0.0016329703240303014,-0.7224260713510077,-0.7314074081331744,-7.4,61025.8,35.5,61048.0,2024-06-27 18:05:35,2024-06-27 18:41:57,5m,BTC-USD
61686.0,61925.3,LONG,100,0.0016211133806698442,0.39166099276983196,0.39166099276983196,35.5,61048.0,26.3,61101.8,2024-06-27 18:41:59,2024-06-27 19:28:52,5m,BTC-USD
61993.3,61751.6,SHORT,100,0.0016130775422505334,0.389880841961961,0.38988084196196093,-0.8,61176.8,-52.6,61206.0,2024-06-27 20:06:27,2024-06-27 20:24:42,5m,BTC-USD
61760.0,61594.1,LONG,100,0.0016191709844559584,-0.26862046632124587,-0.26862046632124587,0.1,61267.6,-5.4,61278.1,2024-06-27 21:45:11,2024-06-27 21:56:58,5m,BTC-USD
61594.1,61726.0,SHORT,100,0.001623532124018372,-0.21414388715802563,-0.21414388715802563,-5.4,61278.1,5.2,61286.6,2024-06-27 21:56:59,2024-06-27 22:11:56,5m,BTC-USD
61729.2,61956.0,LONG,100,0.0016199788754754638,0.3674112089578399,0.3674112089578399,5.2,61286.6,31.8,61320.9,2024-06-27 22:11:57,2024-06-27 22:54:50,5m,BTC-USD
61780.0,61864.0,SHORT,100,0.0016186468112657818,-0.12949174490126256,-0.12949174490126256,-0.4,61358.0,5.3,61362.2,2024-06-27 23:35:03,2024-06-27 23:40:24,5m,BTC-USD
61864.0,61817.4,LONG,100,0.0016164489848700375,-0.08728824518298202,-0.08728824518298203,5.6,61362.2,-5.4,61389.5,2024-06-27 23:40:25,2024-06-28 00:15:40,5m,BTC-USD
61817.4,61600.0,SHORT,100,0.0016176675175597808,0.3516809183174987,0.3516809183174987,-5.4,61389.5,-31.6,61407.9,2024-06-28 00:15:41,2024-06-28 00:48:41,5m,BTC-USD
61569.8,61632.4,LONG,100,0.00162417288995579,0.10167322291123009,0.1016732229112301,1.2,61411.0,-5.3,61442.9,2024-06-28 01:47:43,2024-06-28 05:21:26,5m,BTC-USD
61632.4,61744.0,SHORT,100,0.0016225232183072538,-0.18496764688702694,-0.18496764688702694,-5.3,61442.9,10.3,61433.3,2024-06-28 05:21:27,2024-06-28 06:46:54,5m,BTC-USD
61744.4,62114.0,LONG,100,0.001619580075278082,0.6066946961991672,0.6066946961991672,10.3,61433.3,56.7,61439.0,2024-06-28 06:46:55,2024-06-28 06:55:22,5m,BTC-USD
61940.6,61700.0,SHORT,100,0.0016144499730386854,0.38843666351310535,0.3884366635131054,-0.4,61497.4,-32.6,61501.4,2024-06-28 07:53:05,2024-06-28 08:03:39,5m,BTC-USD
61857.4,61754.7,LONG,100,0.001616621455153304,-0.16602702344425138,-0.16602702344425138,2.5,61538.9,-6.9,61556.2,2024-06-28 09:00:06,2024-06-28 09:35:55,5m,BTC-USD
61754.7,61537.2,SHORT,100,0.0016193099472590752,0.3509044655710369,0.3509044655710369,-6.9,61556.2,-2.9,61558.0,2024-06-28 09:35:56,2024-06-28 11:08:40,5m,BTC-USD
61635.6,61446.5,LONG,100,0.0016224389800699596,-0.306803211131227,-0.306803211131227,0.1,61554.7,-7.6,61542.6,2024-06-28 11:23:17,2024-06-28 13:12:55,5m,BTC-USD
61573.4,61330.2,SHORT,100,0.0016240779297553814,0.39497575251651584,0.39497575251651584,-3.2,62726.7,-38.5,62700.5,2024-06-28 10:50:32,2024-06-28 13:17:19,1h,BTC-USD
61446.5,61430.0,SHORT,100,0.0016274319936855639,0.026852627895811804,0.026852627895811804,-7.6,61542.6,5.1,61516.7,2024-06-28 13:12:56,2024-06-28 14:04:52,5m,BTC-USD
61535.5,61713.7,SHORT,100.0,0.0016250782068887065,-0.28113852979174625,-0.28113852979174625,0.6,,14.5,61490.5,61490.9,2024-06-28 16:52:22,5m,BTC-USD
61519.4,61772.0,LONG,100.0,0.001625503499709035,0.414178291725855,0.41417829172585496,5.0,,41.3,61451.5,61448.2,2024-06-28 17:01:48,15m,BTC-USD
60406.0,60510.1,SHORT,100,0.0016554646889381849,-0.1958414727013921,-0.1769691752474944,-0.2,60766.6,5.1,60786.8,2024-06-29 05:25:54,2024-06-29 05:47:52,5m,BTC-USD
60316.6,60562.8,LONG,100,0.0016579183839937927,0.4534406780223023,0.45344067802230237,6.0,61224.1,58.5,61151.2,2024-06-29 03:15:11,2024-06-29 05:48:09,15m,BTC-USD
60510.1,60737.9,LONG,100,0.001652616670605403,0.3764660775639156,0.3764660775639156,5.0,60786.8,29.7,60779.3,2024-06-29 05:47:52,2024-06-29 06:04:36,5m,BTC-USD
60941.0,60726.0,SHORT,100,0.001640931392658473,0.3528002494215717,0.3528002494215717,-1.4,60770.1,-30.5,60765.9,2024-06-29 07:30:59,2024-06-29 08:23:41,5m,BTC-USD
61051.2,61000.0,LONG,100,0.0016379694420420893,-0.0889417407028783,-0.08713997431663438,0.3,62005.2,-9.4,61657.5,2024-07-03 03:40:29,2024-07-03 06:50:46,5m,BTC-USD
